City,Suburb,Date,Sales,Median Price,suburb_number
ADELAIDE,ADELAIDE,2025-03-31,6.0,1450000.0,500001.0
ADELAIDE,ADELAIDE,2026-03-31,8.0,1585000.0,500001.0
ADELAIDE,NORTH ADELAIDE,2025-03-31,9.0,2282500.0,500601.0
ADELAIDE,NORTH ADELAIDE,2026-03-31,10.0,2480000.0,500601.0
ADELAIDE HILLS,ALDGATE,2025-03-31,5.0,1600000.0,515401.0
ADELAIDE HILLS,ALDGATE,2026-03-31,7.0,1625000.0,515401.0
ADELAIDE HILLS,ASHTON,2025-03-31,1.0,1645000.0,513701.0
ADELAIDE HILLS,ASHTON,2026-03-31,,,513701.0
ADELAIDE HILLS,BALHANNAH,2025-03-31,4.0,776000.0,524201.0
ADELAIDE HILLS,BALHANNAH,2026-03-31,2.0,978500.0,524201.0
ADELAIDE HILLS,BASKET RANGE,2025-03-31,1.0,1040000.0,513801.0
ADELAIDE HILLS,BASKET RANGE,2026-03-31,,,513801.0
ADELAIDE HILLS,BELAIR,2025-03-31,16.0,1042500.0,505201.0
ADELAIDE HILLS,BELAIR,2026-03-31,15.0,1330000.0,505201.0
ADELAIDE HILLS,BIRDWOOD,2025-03-31,1.0,700000.0,523401.0
ADELAIDE HILLS,BIRDWOOD,2026-03-31,9.0,777000.0,523401.0
ADELAIDE HILLS,BRADBURY,2025-03-31,,,515305.0
ADELAIDE HILLS,BRADBURY,2026-03-31,1.0,2392600.0,515305.0
ADELAIDE HILLS,BRIDGEWATER,2025-03-31,19.0,989500.0,515501.0
ADELAIDE HILLS,BRIDGEWATER,2026-03-31,20.0,1072500.0,515501.0
ADELAIDE HILLS,CAREY GULLY,2025-03-31,2.0,1037500.0,514401.0
ADELAIDE HILLS,CAREY GULLY,2026-03-31,,,514401.0
ADELAIDE HILLS,CASTAMBUL,2025-03-31,,,507602.0
ADELAIDE HILLS,CASTAMBUL,2026-03-31,,,507602.0
ADELAIDE HILLS,CHARLESTON,2025-03-31,,,524401.0
ADELAIDE HILLS,CHARLESTON,2026-03-31,,,524401.0
ADELAIDE HILLS,CHERRYVILLE,2025-03-31,,,513402.0
ADELAIDE HILLS,CHERRYVILLE,2026-03-31,,,513402.0
ADELAIDE HILLS,CLELAND,2025-03-31,,,515204.0
ADELAIDE HILLS,CLELAND,2026-03-31,,,515204.0
